# TIME FLUX FLUX_ERR PHASE ECL_MASK
1.469699140271348142e+03 9.993482828140258789e-01 5.680655594915151596e-04 9.591134401127909825e-02 0.000000000000000000e+00
1.469719973682675118e+03 9.994294047355651855e-01 5.676705623045563698e-04 9.733745163512796950e-02 0.000000000000000000e+00
1.469740807093712647e+03 1.000831961631774902e+00 5.680853500962257385e-04 9.876355923916335655e-02 0.000000000000000000e+00
1.469761640504516663e+03 1.000777602195739746e+00 5.681437905877828598e-04 1.001896668272141966e-01 0.000000000000000000e+00
1.469782473915087621e+03 1.000641584396362305e+00 5.680160247720777988e-04 1.016157743993124640e-01 0.000000000000000000e+00
1.469803307325426658e+03 1.000805497169494629e+00 5.680538597516715527e-04 1.030418819555336540e-01 0.000000000000000000e+00
1.469824140735531500e+03 1.000572323799133301e+00 5.679237074218690395e-04 1.044679894957241117e-01 0.000000000000000000e+00
1.469844974145403285e+03 9.998635649681091309e-01 5.680784233845770359e-04 1.058940970199611087e-01 0.000000000000000000e+00
1.469865807554985395e+03 1.000101327896118164e+00 5.677493754774332047e-04 1.073202045243686342e-01 0.000000000000000000e+00
1.469886640964392427e+03 9.995447397232055664e-01 5.679905298165977001e-04 1.087463120167919683e-01 0.000000000000000000e+00
1.469907474373508421e+03 1.000550866127014160e+00 5.681383772753179073e-04 1.101724194892934605e-01 0.000000000000000000e+00
1.469928307782449565e+03 1.000473856925964355e+00 5.677122971974313259e-04 1.115985269498249721e-01 0.000000000000000000e+00
1.469949141191099216e+03 1.000817775726318359e+00 5.677913432009518147e-04 1.130246343904035555e-01 0.000000000000000000e+00
1.469969974599516718e+03 9.999986290931701660e-01 5.681129987351596355e-04 1.144507418150908507e-01 0.000000000000000000e+00
1.469990808007701844e+03 1.000813126564025879e+00 5.683915806002914906e-04 1.158768492238708703e-01 0.000000000000000000e+00
1.470011641415653685e+03 1.000071763992309570e+00 5.676455330103635788e-04 1.173029566166823301e-01 0.000000000000000000e+00
1.470032474823314487e+03 1.001010656356811523e+00 5.681631155312061310e-04 1.187290639895710598e-01 0.000000000000000000e+00
1.470053308230800440e+03 1.000984311103820801e+00 5.681347684003412724e-04 1.201551713504906971e-01 0.000000000000000000e+00
1.470074141637994899e+03 1.000386238098144531e+00 5.680884933099150658e-04 1.215812786914565180e-01 0.000000000000000000e+00
1.470094975044956982e+03 9.999020099639892578e-01 5.678833695128560066e-04 1.230073860165159516e-01 0.000000000000000000e+00
1.470115808451745352e+03 1.000235915184020996e+00 5.677874432876706123e-04 1.244334933296844525e-01 0.000000000000000000e+00
1.470136641858183793e+03 1.000706791877746582e+00 5.677868612110614777e-04 1.258596006188987815e-01 0.000000000000000000e+00
1.470157475264447612e+03 1.000734686851501465e+00 5.676869186572730541e-04 1.272857078961600052e-01 0.000000000000000000e+00
1.470178308670478373e+03 1.000371456146240234e+00 5.676000728271901608e-04 1.287118151574677682e-01 0.000000000000000000e+00
1.470199142076217640e+03 9.999948143959045410e-01 5.676548462361097336e-04 1.301379223988217149e-01 0.000000000000000000e+00
1.470219975481724532e+03 1.000021576881408691e+00 5.676471628248691559e-04 1.315640296242692742e-01 0.000000000000000000e+00
1.470240808887057710e+03 1.000759601593017578e+00 5.677900044247508049e-04 1.329901368378259008e-01 0.000000000000000000e+00
1.470261642292041643e+03 1.001234889030456543e+00 5.680529866367578506e-04 1.344162440274745407e-01 0.000000000000000000e+00
1.470282475696850042e+03 1.001202344894409180e+00 5.678461748175323009e-04 1.358423512051079030e-01 0.000000000000000000e+00
1.470303309101425157e+03 1.001184344291687012e+00 5.677930894307792187e-04 1.372684583667727054e-01 0.000000000000000000e+00
1.470324142505709915e+03 1.000462532043457031e+00 5.676597938872873783e-04 1.386945655085618512e-01 0.000000000000000000e+00
1.470344975909761843e+03 1.001031041145324707e+00 5.677489098161458969e-04 1.401206726344126352e-01 0.000000000000000000e+00
1.470365809313580712e+03 1.001253247261047363e+00 5.677113076671957970e-04 1.415467797443099585e-01 0.000000000000000000e+00
1.470386642717109453e+03 1.000725150108337402e+00 5.678523448295891285e-04 1.429728868343467241e-01 0.000000000000000000e+00
1.470407476120462661e+03 1.000386834144592285e+00 5.680379690602421761e-04 1.443989939123682120e-01 0.000000000000000000e+00
1.470428309523524376e+03 1.001563549041748047e+00 5.679902969859540462e-04 1.458251009704358836e-01 0.000000000000000000e+00
1.470449142926353716e+03 1.001344680786132812e+00 5.678163724951446056e-04 1.472512080125971679e-01 0.000000000000000000e+00
1.470469976328950452e+03 1.000655293464660645e+00 5.678554880432784557e-04 1.486773150388360776e-01 0.000000000000000000e+00
1.470490809731256149e+03 1.001492857933044434e+00 5.678333691321313381e-04 1.501034220451522572e-01 0.000000000000000000e+00
1.470511643133329699e+03 1.000787854194641113e+00 5.678603192791342735e-04 1.515295290355771485e-01 0.000000000000000000e+00
1.470532476535169508e+03 1.001239538192749023e+00 5.679947207681834698e-04 1.529556360100023937e-01 0.000000000000000000e+00
1.470553309936776031e+03 1.001078844070434570e+00 5.679102614521980286e-04 1.543817429684581910e-01 0.000000000000000000e+00
1.470574143338150179e+03 1.000640630722045898e+00 5.676571745425462723e-04 1.558078499110067128e-01 0.000000000000000000e+00
1.470594976739233516e+03 1.000767827033996582e+00 5.676871514879167080e-04 1.572339568336493798e-01 0.000000000000000000e+00
1.470615810140084022e+03 1.000673055648803711e+00 5.678109591826796532e-04 1.586600637403527969e-01 0.000000000000000000e+00
1.470636643540644172e+03 1.002047777175903320e+00 5.679713212884962559e-04 1.600861706271814455e-01 0.000000000000000000e+00
1.470657476941028790e+03 1.001851320266723633e+00 5.681187030859291553e-04 1.615122775019948165e-01 0.000000000000000000e+00
1.470678310341122597e+03 1.001084089279174805e+00 5.680375033989548683e-04 1.629383843569005563e-01 0.000000000000000000e+00
1.470699143740983573e+03 1.000962376594543457e+00 5.678105517290532589e-04 1.643644911958679344e-01 0.000000000000000000e+00
1.470719977140552601e+03 1.000383734703063965e+00 5.678596789948642254e-04 1.657905980148512981e-01 0.000000000000000000e+00
1.470740810539889708e+03 1.001360297203063965e+00 5.680334870703518391e-04 1.672167048179593607e-01 0.000000000000000000e+00
1.470761643938994666e+03 1.000834584236145020e+00 5.680275498889386654e-04 1.686428116051752468e-01 0.000000000000000000e+00
1.470782477337865885e+03 1.001333951950073242e+00 5.677589215338230133e-04 1.700689183763914869e-01 0.000000000000000000e+00
1.470803310736446292e+03 1.000514864921569824e+00 5.676847649738192558e-04 1.714950251277009841e-01 0.000000000000000000e+00
1.470824144134793869e+03 1.001726746559143066e+00 5.680434405803680420e-04 1.729211318630721195e-01 0.000000000000000000e+00
1.470844977532849498e+03 1.001162886619567871e+00 5.678955349139869213e-04 1.743472385784592404e-01 0.000000000000000000e+00
1.470865810930673206e+03 1.000198125839233398e+00 5.677850567735731602e-04 1.757733452779701722e-01 0.000000000000000000e+00
1.470886644328264538e+03 1.001361727714538574e+00 5.679018213413655758e-04 1.771994519615747166e-01 0.000000000000000000e+00
1.470907477725623266e+03 1.000609159469604492e+00 5.678866873495280743e-04 1.786255586292559983e-01 0.000000000000000000e+00
