tics,sectors,injected_times,injected_depths,injected_durations,injected_snrs,recovered,recovered_times,recovered_depths,recovered_durations,recovered_snrs
271548206,15,1731.2110917659563,0.004641588833612777,0.5499999999999999,0.9440469477170198,False,,,,
260128333,6,1479.6574826661997,0.004641588833612777,0.7,20.314178589042754,True,1479.8033163589173,0.0009630218071676744,0.375,4.453188960452324
271548206,15,1729.4194250992898,0.004641588833612777,0.7,1.176960849799948,False,,,,
260128333,6,1481.9491538609525,0.004641588833612777,0.85,26.41678805948261,False,,,,
271548206,15,1727.440258432623,0.004641588833612777,0.85,1.1612742388115795,False,,,,
271548206,14,1709.9923451451266,0.004641588833612777,1.0,1.1928781338832837,False,,,,
260128333,6,1486.4491543739607,0.004641588833612777,1.0,27.62139023680362,False,,,,
260128333,6,1479.0324810643012,0.006812920690579608,0.1,18.153915996076094,True,1479.0324810643012,0.0029971803288817433,0.20833333333333331,11.021469705115447
78568736,7,1505.4837495162355,0.006812920690579608,0.1,54.42786541505352,True,1505.4837495162355,0.005204928258892405,0.14583333333333331,50.39277251544594
78568736,7,1509.3795828495688,0.006812920690579608,0.25,88.15981764396696,True,1509.3795828495688,0.006418808337570248,0.29166666666666663,87.97316402744823
271548206,15,1728.5235917659563,0.006812920690579608,0.25,0.9432975462465095,False,,,,
78568736,7,1511.7962495162355,0.006812920690579608,0.4,57.82148672683163,True,1511.7962495162355,0.006014821311003393,0.47916666666666663,100.81439148536148
271548206,15,1734.252758432623,0.006812920690579608,0.4,1.155667232577929,False,,,,
271548206,14,1688.367267992912,0.006812920690579608,0.5499999999999999,1.5185984701331514,False,,,,
271548206,15,1718.9610917659563,0.006812920690579608,0.5499999999999999,1.4102107506678632,False,,,,
271548206,14,1686.8672542369256,0.006812920690579608,0.7,1.7133537772814231,False,,,,
271548206,15,1725.7944250992898,0.006812920690579608,0.7,1.6292045096843903,False,,,,
260128333,6,1483.824155525362,0.006812920690579608,0.85,33.512346914563935,True,1483.6366554470171,0.0025122472752610037,0.3958333333333333,12.138309396283903
78568736,7,1493.025416182902,0.006812920690579608,0.85,34.94954432471158,True,1493.3170828495688,0.0010101575517662553,0.3125,6.641494448892966
271548206,15,1715.3360917659563,0.006812920690579608,1.0,1.952250139537478,False,,,,
